Title,Author,Price
THREE GUINEAS (First edition),Virginia Woolf,US$ 84.04
FOLIOS OF NEW WRITING Autumn 1941,LEHMANN John,US$ 18.10
The Waves,"Woolf, Virginia",US$ 216.00
Saturday Night At The Greyhound,John Hampson,US$ 25.86
Collected Poems.,"Sackville-West, Vita",US$ 750.00
Antiquarian Prejudice,"Betjeman, John",US$ 15.00
A Childhood. With wood engravings by Enid Marx.,Allinson (Francesca),US$ 387.90
The Future of an Illusion - Olaf Stapledon's Copy,Sigmund Freud,US$ 303.85
The Economic Consequences of Mr. Churchill.,"KEYNES, John Maynard.",US$ 840.44
CAN I HELP YOU,Viola Tree,US$ 750.00
Roger Fry. A Biography.,"WOOLF, Virginia.","US$ 1,512.50"
Sally Bowles (signed in rare dust jacket),Christopher Isherwood,"US$ 5,000.00"
Sally Bowles (signed by author),Christopher Isherwood,"US$ 3,500.00"
Collected papers Vol. II,"Freud, Sigmund",US$ 7.76
"Inhibitions, symptoms and anxiety","Freud, Sigmund",US$ 5.21
Cavender's house,Arlington Robinson Edwin,US$ 5.21
New Introductory Lectures On Psycho-Analysis,"Freud, Sigmund","US$ 2,500.00"
The Years,"Woolf, Virginia",US$ 258.60
Jacob's Room,"Woolf, Virginia",US$ 387.90
Ladies and Gentlemen In Victorian Fiction,E.M.Delafield,US$ 20.20
"Quack, Quack!","Woolf, Leonard",US$ 96.97
The Common Reader Second Edition,Virginia Woolf,US$ 10.00
Moll Flanders,"Defoe, Daniel",US$ 20.00
Words and Poetry,"George H. W. Rylands (Lytton Strachey, intro.)",US$ 7.00
COLLECTED POEMS 1929 to 1933. Transitional Poem; From Feathers to Iron: The Magnetic Mountain. Signed,Cecil Day Lewis,US$ 250.00
The Judgment of François Villon.,"HOGARTH PRESS. PALMER, Herbert Edward.",US$ 226.27
"A Time to Dance, and other Poems.",Day Lewis (C.),US$ 64.65
FIRST EDITIONS - 2nd SERIES IN VANESSA BELL'S DUSTJACKET The Common Reader: First and Second Series,Virginia Woolf,"US$ 1,228.34"
FIRST EDITION - Jacob's Room,Virginia Woolf,US$ 775.79
The Common Reader: Second Series,"Woolf, Virginia",US$ 225.00
"Democracy Under Revision (A Lecture Delivered at the Sorbonne on March 15th, 1927)","Wells, HG",US$ 8.31
Flush: A Biography.,"Woolf, Virginia","US$ 2,800.00"
King's Daughter,"Sackville-West, V.",US$ 25.00
The Backward Son,"Spender, Stephen",US$ 174.99
POEMS signed,Christopher Lee,US$ 250.00
POEMS FOR SPAIN With an Introduction by Stephen Spender,"SPENDER, Stephen and John LEHMANN (Editors)",US$ 89.22
Life as We Have Known It. By Co-operative Working Women.,"WOOLF, Virginia (intro.); Margaret Llewelyn Davies (ed.).","US$ 1,616.24"
ANOTHER FUTURE OF POETRY signed,"Graves, Robert",US$ 570.00
Monday or Tuesday. With Woodcuts by Vanessa Bell,"WOOLF, Virginia and Vanessa Bell","US$ 3,000.00"
Sally Bowles.,"ISHERWOOD, Christopher.","US$ 2,500.00"
"Reviewing. With a Note by Leonard Woolf [Hogarth Sixpenny Pamphlets, No. 4.]",Woolf (Virginia),US$ 103.44
Jacob's Room.,Woolf (Virginia),"US$ 1,292.99"
"Reviewing. With a Note by Leonard Woolf [Hogarth Sixpenny Pamphlets, No. 4.]",Woolf (Virginia),US$ 129.30
The Waves.,Woolf (Virginia),"US$ 1,228.34"
"Work for the Winter, and Other Poems. [Hogarth Living Poets, Second Series, No.4.]",Bell (Julian),US$ 368.50
"The Family Tree. [Hogarth Living Poets, No.10.]",Plomer (William),US$ 71.11
Cézanne. A Study of his Development.,Fry (Roger),US$ 387.90
First Poems.,Muir (Edwin),US$ 258.60
Proust.,Bell (Clive),US$ 58.18
The Nice Old Man and the Pretty Girl. Translated from the Italian by L. Collison-Morley.,"Svevo (Italo, i.e. Ettore Schmitz)",US$ 290.92
"Essays on Literature, History, Politics, Etc.",Woolf (Leonard),US$ 84.04
The Funeral March of a Marionette. Charlotte of Albany.,"BUCHAN, Susan.",US$ 581.85
Three Guineas,"Woolf, Virginia",US$ 161.62
Monday or Tuesday.,"WOOLF, Virginia.","US$ 4,525.47"
Lyrical Poetry from Blake to Hardy.,"GRIERSON, H. J. C.",US$ 517.20
Fear and Politics. A Debate at the Zoo.,"WOOLF, Leonard.",US$ 581.85
LIONS AND SHADOWS. An Education In The Twenties,"Isherwood, Christopher","US$ 1,800.00"
The dark island,V. Sackville - West,"US$ 1,200.00"
The structure of the novel / Edwin Muir,"Muir, Edwin (1887-1959)",US$ 27.72
Flush: A Biography: Large Paper First Issue,"Woolf, Virginia",US$ 226.27
The waves first edition 2nd impression Virginia Woolf 1931,Virginia Woolf,US$ 720.00
THE HOTEL. A PLAY,"Woolf, Leonard",US$ 100.00
THE DARK ISLAND,"Sackville-West, Vita",US$ 520.00
ANTIQUARIAN PREJUDICE. Hogarth Sixpenny Pamphlets Number Three.,"Betjeman, John",US$ 29.74
ENGLAND'S PLEASANT LAND. A pageant play,"Forster, E. M.",US$ 81.33
Selected Poems,"DAY-LEWIS, Cecil (1904-1972)",US$ 84.04
Goodbye to Berlin,Isherwood (Christopher).,US$ 814.58
The Marmosite s Miscellany,"Graves (Robert). ""By John Doyle"" [pseud.]","US$ 1,221.88"
The Whirligig of Taste.,"KELLETT, E.E.",US$ 12.29
The Structure of the Novel,"Muir, Edwin",US$ 12.29
PHASES OF ENGLISH POETRY,"READ, Herbert",US$ 15.53
"Some Religious Elements in English Literature (Hogarth Lectures, No. 14)","MACAULAY, Rose",US$ 45.00
The magnetic Mountain,DAY LEWIS C.,US$ 49.90
Adventure and other papers,"NANSEN, Fridtjof",US$ 32.32
A Derelict Area. A study of the south-west Durham coalfield. With an introduction by Hugh Dalton. Day to Day Pamphlets No. 25,Thomas Sharp,US$ 426.61
The Waves,Virginia Woolf,"US$ 1,100.00"
THE WHIRLIGIG OF TASTE,"Kellett, E. E.",US$ 35.00
Flush: A Biography,Virginia Woolf; Vanessa Bell [illus.],US$ 250.00
Senlin: A Biography,Conrad Aiken,US$ 118.96
The Other Side of the Medal,Edward Thompson,"US$ 1,551.59"
Between the Acts,"Woolf, Virginia",US$ 103.44
Selected poems,"PLOMER, William",US$ 5.25
Party Going,"GREEN, Henry",US$ 29.62
Orlando - a Biography,"Woolf, Virginia",US$ 646.50
Pepita,Sackville-West V.,US$ 12.03
Twelve Days An account of a journey across the Bakhtiari Mountains in South-western Persia,V Sackille-West,US$ 51.72
Mr. Norris Changes Trains,"Isherwood, Christopher",US$ 646.50
"Inhibitions, Symptoms and Anxiety","Freud, Sigmund",US$ 20.00
Amber Innocent,"Easdale, Joan Adeney","US$ 1,500.00"
The Meaning of Sacrifice,"Money-Kyrle, R.",US$ 70.00
Flush a Biography,Virginia Woolf,US$ 769.33
"The Memorial, Portrait of a Family",Christopher Isherwood,US$ 116.37
All Passion Spent,Vita Sackville-West,US$ 155.16
Flush a Biography,Virginia Woolf,US$ 478.41
Antiquarian Prejudice,John Betjeman,US$ 49.13
Orlando: Hogarth Uniform Edition,"Woolf, Virginia",US$ 323.25
Allegra,"ORIGO, IRIS",US$ 47.31
Passenger to Teheran,V. Sackville-West,US$ 646.50
Castles in the Air: a Story of My Singing Days,Viola Tree,US$ 11.89
"Walter Sickert, a conversation , by Virginia Woolf",Virginia Woolf,US$ 194.04
The Years,Virginia Woolf,US$ 365.90
Mrs. Dalloway,"Woolf, Virginia","US$ 7,500.00"
Pharos and Pharillon,E.M. Forster,US$ 200.00
FLUSH : A Biography,"Woolf, Virginia",US$ 16.68
Twelve Days. An account of a journey across the Bakhtiari Mountains in South-western Persia.,"SACKVILLE-WEST, Vita.",US$ 775.79
Pharos and Pharillon.,"FORSTER, E. M.",US$ 323.25
"ANTIQUARIAN PREJUDICE 1ST EDITION 1939 HOGARTH SIXPAMPHLETS, No,3",JOHN BETJERMAN,US$ 77.58
Goodbye to Berlin,"ISHERWOOD, Christopher",US$ 581.85
Orlando. A Biography.,"WOOLF, Virginia.",US$ 646.50
Goodbye to Berlin,"Isherwood, Christopher",US$ 77.58
The Bankers of London,Percy Arnold,US$ 77.58
THE END OF LAISSEZ-FAIRE,"Keynes, John Maynard","US$ 5,500.00"
THE YEARS,VIRGINIA WOOLF,"US$ 13,970.76"
ORELANDO,VIRGINIA WOOLF,"US$ 1,829.50"
THE WAVES,VIRGINIA WOOLF,"US$ 3,647.92"
FLUSH. A BIOGRAPHY.,WOOLF Virginia.,US$ 27.72
The structure of the novel / Edwin Muir,"Muir, Edwin (1887-1959)",US$ 34.00
Land-Value Rating. Theory and Practice,Francis Campbell Ross Douglas,US$ 54.72
The Structure of the Novel Hogarth Lectures No 6,Edwin Muir,US$ 5.17
Poets of Tomorrow (First Selection),"Peter Hewett, H.B. Mallalieu, Ruthven Todd, Robert Waller",US$ 100.00
The Voyage Out,Virginia Woolf,US$ 44.00
Pepita,V. Sackville-West,US$ 38.79
"Civilization, War and Death, Selections from Three Works",Sigmund Freud; John Rickman (ed.),US$ 38.79
Solitude,"Sackville-West, Vita",US$ 66.60
Pepita,"Sackville-West, Victoria.",US$ 19.39
QUACK QUACK!,"Woolf, Leonard",US$ 650.00
Requiem and Other Poems,Rainer Maria Rilke,US$ 30.61
Later Poems,"Rilke, Rainer Maria",US$ 17.08
Hogarth Lectures No. 5: Lyrical Poetry from Blake to Hardy,H. J. C. Grierson,US$ 64.65
The Dark Island.,Sackville-West (V. [Vita]),US$ 77.58
Reminiscences of Tolstoy Chekhov and andreev,Maxim Gorky,US$ 32.32
Pepita,"SACKVILLE-WEST, Vita (1892-1962)",US$ 161.62
Flush: A Biography,"Woolf, Virginia",US$ 64.65
Selected Poems :The New Hogarth Library Vol. 2,C.Day Lewis,US$ 15.52
The Edwardians,V. Sackville-West,US$ 695.00
AFTERMATH,"TREVELYAN, R. C.",US$ 32.32
Coeducation Its Historical and Theoretical Setting,L.B. Pekin,US$ 16.09
The End of Laissez-Faire.,"KEYNES, John Maynard.",US$ 969.74
THE DARK,"ANDREEV [ANDREYEV], Leonid; translated by MAGNUS, L. A. and WALTER, K.",US$ 161.62
A Letter To A Sister,"Lehmann, Rosamond",US$ 60.00
Karn.,"MANNING-SANDERS, Ruth.","US$ 5,818.46"
Reminiscences of a Student's Life.,"HARRISON, Jane Ellen.",US$ 969.74
COLLECTED POEMS. Volume One.,Vita Sackville-West,US$ 45.25
"Antiquarian Prejudice. Hogarth Sixpenny Pamphlets, No.3.",Betjeman (John),US$ 58.18
Pharos and Pharillon.,"FORSTER, E. M.",US$ 323.25
GRACE AFTER MEAT.,"RANSOM, John Crowe (Introduction By Robert Graves.",US$ 226.27
A time to dance,DAY LEWIS C.,US$ 49.90
EGO AND THE ID.|THE,"Freud, Sigmund","US$ 1,200.00"
Family History,"Sackville-West, V.",US$ 23.89
"Gorky's reminiscences of Tolstoy, Chekhov, and Andreev","Makim Gorky, SS Kotellansky and Leonard Wolf Katherine Mansfield",US$ 34.69
"Folios of new writing, spring 1940",unknown,US$ 10.09
"New writing and daylight, autumn 1940",unknown,US$ 11.35
"New writing , new series III, Christmas 1939",unknown,US$ 11.35
"New writing and daylight, autumn 1941",unknown,US$ 11.35
"Romance of a Harem. Translated from the French of 'Dans l'ombre du Harem' by Clarence Forestier-Walker, and with illustrations by William Siegel.",WILLIAM SIEGEL. Clarence Forestier-Walker.,US$ 25.86
The Future of an Illusion,"Freud M.D. LL.D., Sigmund",US$ 30.00
Jacob's Room.,"WOOLF, Virginia.","US$ 8,727.69"
The Years,Virginia Woolf,US$ 54.31
The Writings of E M Forster,Rose Macaulay,US$ 25.92
FLUSH. A Biography,"Woolf, Virginia",US$ 550.00
Envy.,"OLYESHA, Yuri.",US$ 226.27
Proust.,"HOGARTH PRESS. BELL, Clive.",US$ 161.62
Contemporary Techniques of Poetry. A Political Analogy.,"GRAVES, Robert.",US$ 323.25
Senlin: A Biography,"AIKEN, Conrad",US$ 65.00
Sally Bowles,Christopher Isherwood,US$ 150.00
Flush. A Biography,Virginia Woolf.,US$ 543.06
PARALLAX,"CUNARD, Nancy",US$ 700.00
Antiquarian Prejudices,John Betjeman,US$ 15.19
Poems,"Rylands, George",US$ 175.00
Goodbye to Berlin,"Isherwood, Christopher",US$ 60.00
The End of Laissez Faire,"Keynes, John Maynard",US$ 155.16
Goodbye to Berlin,"ISHERWOOD, Christopher",US$ 40.00
The Defeat of Baudelaire; A Psycho-Analytical Study of the Neurosis of Charles Baudelaire. . . Translated from the French by Herbert Agar,"Laforgue, René",US$ 125.00
Pack My Bag (UK HB 1st),"Green, Henry",US$ 51.72
Pepita.,"SACKVILLE-WEST, Vita.","US$ 1,616.24"
Roger Fry. A Biography. By Virginia Woolf. LONDON : 1940. HARDBACK in JACKET.,"WOOLF, Virginia (1882-1941) [ FRY, Roger (Roger Eliot) 1866-1934 K.C.C.]",US$ 155.16
Reminiscences of a Student s Life,Jane Ellen Harrison,US$ 75.00
The Legend of Monte della Sibilla or Le Paradis de la Reine Sibille,"BELL, Clive",US$ 475.00
Lions and Shadows: An Education in the Twenties,"ISHERWOOD, Christopher",US$ 400.00
The Years.,"WOOLF, Virginia","US$ 1,900.00"
On the Nightmare,"Jones, Ernest",US$ 50.00
MUTATIONS OF THE PHOENIX,"Read, Herbert","US$ 1,550.00"
Proust.,"BELL, Clive.",US$ 646.50
England's Pleasant Land. A Pageant Play.,"FORSTER, E. M.",US$ 969.74
Collected Poems. Volume One [all published].,"SACKVILLE-WEST, Vita.",US$ 387.90
Poetry & Criticism,Edith Sitwell,US$ 40.00
Poems.,Gates ([Sidney] Barrington),US$ 581.85
"Different Days. [Hogarth Living Poets, No. 1]",Cornford (Frances),US$ 90.51
Country Notes In Wartime,"SACKVILLE-WEST, V.",US$ 96.97
In a Province,"van der Post, Laurens","US$ 2,750.00"
The Structure of Wuthering Heights. [The Hogarth Essays XIX.],"(Sanger.) 'C. P. S.' [i.e., Charles Percy Sanger]",US$ 129.30
The Years,Virginia Woolf,US$ 161.62
Adventure and Other Papers,Fridtjof Nansen,US$ 51.72
THE ARMED MUSE,"Palmer, Herbert Edward",US$ 550.00
Solitude.,"SACKVILLE-WEST, Vita.",US$ 302.50
Solitude - A Poem,"Sackville-West, Vita",US$ 32.32
THE STORY OF THE SIREN,E M Forster,US$ 790.00
The Common Sense of World Peace,"Wells, H. G.",US$ 75.00
Democracy Under Revision,"Wells, H. G.",US$ 125.00
Reviewing. With a Note by Leonard Woolf,"Woolf, Virginia",US$ 15.00
German Lyric Poetry. Hogarth Lectures No. 13,"MacLeod, Norman",US$ 15.83
RIMELESS NUMBERS,"Treveleyan, R. C.",US$ 500.00
POEMS - Rare Edition,"Gates, Barrington",US$ 925.00
The Notebooks of Malte Laurids Brigge. Translated by John Linton.,"RILKE, Rainer Maria.",US$ 161.62
FLUSH A BIOGRAPHY,"WOOLF, Virginia",US$ 210.00
"ESSAYS ON LITERATURE, HISTORY, POLITICS, ETC.","WOOLF, Leonard",US$ 47.00
"HOMAGE TO JOHN DRYDEN THREE ESSAYS ON POETRY OF THE SEVENTEENTH CENTURY. THE HOGARTH ESSAYS, NO. IV","ELIOT, T. S.",US$ 105.00
England's Pleasant Land. A Pageant Play.,"FORSTER, E. M.",US$ 161.62
Sonnets to Orpheus. Written as a monument for Wera Ouckama Knoop,"Rilke, Rainer Maria",US$ 64.65
Sonnets to Orpheus,Rainer Maria Rilke,US$ 96.97
COLLECTED POEMS. VOLUME ONE. (ALL PUBLISHED.),SACKVILLE - WEST. V.,US$ 51.72
Roger Fry: A Biography,"Woolf, Virginia",US$ 103.44
Dust Jacket for Lions And Shadows.,"Isherwood, Christopher",US$ 100.00
Poems.,"Tiller, Terence.",US$ 44.35
JACOB'S ROOM,"Woolf, Virginia","US$ 1,800.00"
The Common Reader: Virginia Woolf,"Woolf, V.",US$ 8.06
Goodbye to Berlin,"ISHERWOOD, Christopher","US$ 1,081.02"
THE COMMON READER SECOND SERIES,"WOOLF, Virginia",US$ 152.00
THREE GUINEAS,"WOOLF, Virginia",US$ 131.00
The other side of the medal,"Thompson, Edward",US$ 67.67
THE OTHER SIDE OF THE MEDAL.,"THOMPSON, Edward. [Edward John Thompson 1886-1946]:",US$ 96.97
Words and Poetry,"Rylands, George H",US$ 129.30
Selected Poems of Federico Garcia Lorca,"Federico Garcia Lorca, trans. Stephen Spender and J. L. Gili",US$ 323.25
The Years.,"Woolf, Virginia","US$ 1,650.00"
TRAGEDY IN RELATION TO ARISTOTLE'S POETICS - HOGARTH LECTURES No. 2 [First printing],"F. L. Lucas, M.A.",US$ 45.25
THE COMMON READER. Second Series.,"WOOLF,, Virginia.",US$ 63.37
The Waves,Virginia Woolf,US$ 67.08
Life As We Have Known It,"Co-operative Working Women; Davies, Margaret Llewelyn (editor); Woolf, Virginia (introduction)",US$ 150.00
The Medium of Poetry,"Sutherland, James",US$ 9.38
Reviewing (With a Note by Leonard Woolf),"Woolf, Virginia",US$ 12.93
THE DEATH OF MY AUNT,"Kitchin, C.H.B.",US$ 65.00
"Quack, Quack!","WOOLF, Leonard",US$ 950.00
Turbott Wolfe,William Plomer,US$ 100.00
The Waves,"WOOLF, VIRGINIA",US$ 104.08
Solitude. A Poem.,"SACKVILLE-WEST, Vita.","US$ 8,404.44"
New Country. Prose and Poetry By the Authors of 'new signature',"ROBERTS, MICHAEL",US$ 40.00
The Gentleman From San Francisco: And Other Stories,Ivan Alekseevich Bunin,US$ 28.61
A LETTER TO A YOUNG POET,Virginia Woolf,US$ 184.95
Twelve days,"SACKVILLE-WEST, V.",US$ 64.65
On Being Ill,Virginia Woolf,"US$ 7,000.00"
PEPITA,"SACKVILLE-WEST, Vita",US$ 116.37
I Speak of Africa (UK HB 1st),"Plomer, William",US$ 58.18
PASSENGER TO TEHERAN [Signed by Mother?],"Sackville-West, V. [Vita]",US$ 850.00
"COLLECTED POEMS, Volume One [SIGNED LIMITED EDITION-150 copies]","Sackville-West, V. [Vita]","US$ 1,100.00"
To the Lighthouse,Virginia Woolf,"US$ 2,500.00"
A Letter to a Young Poet.,"WOOLF, Virginia.",US$ 30.00
The End of Laissez-Faire,"Keynes, John Maynard","US$ 4,000.00"
Funeral March of a Marionette : Charlotte of Albany,Susan Buchan,US$ 42.24
Poems,"ALLOTT, Kenneth",US$ 150.00
The Fortunes and Misfortunes of the Famous Moll Flanders,"Defoe, Daniel",US$ 50.00
The Voyage Out.,Virginia Woolf.,US$ 58.18
A LETTER TO A YOUNG POET,"WOOLF, Virginia",US$ 42.00
NOAH AND THE WATERS,"Lewis, C. Day",US$ 60.00
CHEERFUL WEATHER FOR THE WEDDING,"Strachey, Julia Frances",US$ 180.00
"ANONYMITY, AN ENQUIRY","Forster, E. M.",US$ 150.00
SENLIN; A BIOGRAPHY,"Aiken, Conrad",US$ 240.00
NOAH AND THE WATERS,"Lewis, C. Day",US$ 144.00
ENGLAND'S PLEASANT LAND,"Forster, E. M.",US$ 132.00
The Mark on the Wall. A story.,VIRGINIA WOOLF.,US$ 711.15
Reminiscences of Leo Nicolayevitch Tolstoi,"Gorky, Maxim; S. S. Koteliansky and Leonard Woolf (transl.)",US$ 62.09
The Judgement of Francois Villon,Herbert Edward Palmer,US$ 46.55
Mr. Norris Changes Trains,Christopher Isherwood,US$ 38.79
The Dark,Leonid Andreev,US$ 122.83
Reviewing,Virginia Woolf,US$ 181.02
A Letter to a Young Poet,Virginia Woolf,US$ 142.23
To the Lighthouse,Virginia Woolf,"US$ 2,068.79"
Poetry & Criticism,"Sitwell, Edith",US$ 27.50
Poems for Spain,"Edited by SPENDER, Stephen, and John LEHMANN",US$ 59.48
Lies and Hate in Education,"Starr, Mark",US$ 42.00
The Mark on the Wall.,"WOOLF, Virginia.","US$ 1,616.24"
Collected poems. vol. 1 / V. Sackville-West,"Sackville-West, V. (Victoria) (1892-1962)",US$ 238.00
Poetry in France & England,Jean Stewart,US$ 8.70
Collected poems. vol. 1 / V. Sackville-West,"Sackville-West, V. (Victoria) (1892-1962)",US$ 249.48
THE YEARS,"WOOLF, Virginia",US$ 683.00
WINDLESS SKY,"FAULKNER, Fritz",US$ 158.00
"Collected Poems, 1929 - 1933",C. day lewis,US$ 7.42
Fear and Politics,"Woolf, Leonard",US$ 150.00
Anonymity. An Enquiry,"Forster, E. M.",US$ 450.00
"Reminiscences of Tolstoy, Chekhov and Andreev",Maxim Gorky,US$ 20.35
To the Lighthouse,"Woolf, Virginia","US$ 3,000.00"
The Dark Island,V.Sackville-West,US$ 13.08
Orlando A Biography,Virginia Woolff,US$ 90.51
THREE GUINEAS,"WOOLF, Virginia",US$ 50.00
ANOTHER FUTURE OF POETRY,"GRAVES, Robert",US$ 68.00
Antiquarian Prejudice. Hogarth Sixpenny Pamphlets.,John Betjeman,US$ 25.86
TRANSITION,"Muir, Edwin",US$ 169.44
Selected Papers Of Karl Abraham,"Abraham, Karl",US$ 50.00
Mr. Norris Changes Trains,"Isherwood, Christopher",US$ 42.73
Between the Acts,Virginia Woolf,US$ 620.64
The Common Reader: Second Series,Virginia Woolf,US$ 607.71
Family History,SACKVILLE-WEST V,US$ 19.39
All Passion Spent. A novel.,V.SACKVILLE-WEST.,US$ 64.65
The Years.,Virginia Woolf.,US$ 45.25
A Room of One's Own.,Virginia Woolf.,US$ 103.44
Disarmament,P.J.Noel-Baker,US$ 8.69
The Years,"Woolf, Virginia",US$ 161.62
Roger Fry: A Biography.,"WOOLF, Virginia.","US$ 1,260.67"
The Fivefold Screen (signed limited edition),William Plomer,US$ 55.00
"Composition as Explanation (The Hogarth Essays, Second Series I)","Stein, Gertrude",US$ 150.00
Walter Sickert: A Conversation,"WOOLF, VIRGINIA.",US$ 100.00
Reminiscences of Leo Nicolayevitch Tolstoi / by Maxim Gorky ; authorized translation from the Russian by S.S. Koteliansky and Leonard Woolf,"Gorky, Maksim (1868-1936). Koteliansky, Samuel Solomonovitch (1880-1955) [translator]. Woolf, Leonard (1880-1969) [translator]",US$ 95.20
Russia to-day and to-morrow / Maurice Dobb,"Dobb, Maurice (1900-1976)",US$ 34.00
Country Notes in Wartime.,"SACKVILLE-WEST, V.",US$ 226.27
Duineser Elegien / Elegies from the Castle of Duino,"RILKE, Rainer Maria. (V. SACKVILLE-WEST)","US$ 9,500.00"
THE DEFEAT OF BAUDELAIRE,LAFORGUE Rene,US$ 25.86
SELECTED POEMS,"Sackville-West, Vita",US$ 81.33
TWELVE DAYS,"Sackville-West, Vita",US$ 186.38
KING'S DAUGHTER,"Sackville-West, Vita",US$ 81.33
SOLITUDE,"Sackville-West, Vita",US$ 135.55
IN OUR TOWN .,"Hobson, Coralie",US$ 150.00
Jacob's Room. FIRST EDITION.,"WOOLF, Virginia.",US$ 775.79
The End of Laissez-Faire. FIRST EDITION.,"KEYNES, John Maynard.","US$ 2,585.98"
ANTIQUARIAN PREJUDICE,"Betjeman, John",US$ 118.61
THE DARK ISLAND,"Sackville-West, Vita",US$ 271.10
The Riddle of the Sphinx of Human Origins,"Roheim, Geza",US$ 35.00
"King's Daughter. [Hogarth Living Poets, No. 11.]",Sackville-West (Vita),US$ 77.58
The Common Reader. FIRST EDITION.,"WOOLF, Virginia.",US$ 323.25
Allegra,"Origo, I.",US$ 7.58
Night and Day,"Woolf, Virginia",US$ 161.62
Collected Poems. 1929 - 1933. Transitional Poem. From Feathers to Iron. The Magnetic Mountain. Third Impression.,"LEWIS, C. Day.",US$ 19.39
The Autobiography of Countess Sophie Tolstoi. With Preface and Notes by . Translated by S. S. KOTELIANSKY and LEONARD WOOLF.,"SPIRIDONOV, Vasilii (edit.).",US$ 387.90
FAMILY HISTORY.,Vita Sackville-West,US$ 13.31
PEPITA.,Vita Sackville-West,US$ 13.31
Some Religious Elements in English Literature,"Macaulay, Rose",US$ 19.95
A Room of One's Own,Virginia Woolf,"US$ 3,620.37"
Reviewing. With a Note by Leonard Woolf,"WOOLF, Virginia",US$ 75.00
Jacob's Room,"Woolf, Virginia","US$ 2,256.29"
The Writings of E.M. Forster,Emilie Rose Macaulay,US$ 30.33
Seducers in Ecuador.,"SACKVILLE-WEST, Vita.",US$ 872.77
The Years,"Woolf, Virginia",US$ 150.00
"Hogarth Living Poets no 13. Poem "" For Nordahl Grieg Ship's Fireman"" in Cambridge oetry 1930",Lowry Malcolm,US$ 58.18
DUNCAN GRANT. New edition. (Living Painters.),"Fry, Roger (introduction).",US$ 250.00
The Waves,"WOOLF, Virginia",US$ 290.92
Allegra,Iris Origo,US$ 46.67
The Hoax.,Italo Svevo,US$ 63.16
"Casles in the air,the story of my singing days","Tree,Viola",US$ 15.52
Between the Acts,Virginia Woolf,US$ 14.35
Journey To the Border,"Upward, Edward","US$ 2,350.00"
Reminiscences of Leo Nicolayevitch Tolstoi / by Maxim Gorky ; authorized translation from the Russian by S.S. Koteliansky and Leonard Woolf,"Gorky, Maksim (1868-1936). Koteliansky, Samuel Solomonovitch (1880-1955) [translator]. Woolf, Leonard (1880-1969) [translator]",US$ 94.25
Russia to-day and to-morrow / Maurice Dobb,"Dobb, Maurice (1900-1976)",US$ 27.72
Disarmament / by Professor P.J. Noel Baker,"Noel-Baker, Philip John",US$ 27.72
The Defeat of Baudelaire. a Psycho-Analytical Study of the Neuroses of Charles Baudelaire,"Laforgue, Rene",US$ 150.00
PHAROS AND PHARILLON,"Forster, E. M.",US$ 30.00
Voltaire,"Riding, Laura","US$ 4,202.22"
The Ego and the Id.,"Freud, Sigmund","US$ 3,000.00"
Goodbye to Berlin,Christopher Isherwood,US$ 200.00
"COLLECTED POEMS 1929 to 1933: Transitional Poem, From Feathers to Iron, The Magnetic Mountain {First edition - third impression]",C. Day Lewis [Cecil Day Lewis],US$ 45.25
"Inhibitions, Symptoms and Anxiety",Sigmund Freud,US$ 15.52
The Common Reader.,"WOOLF, Virginia.","US$ 14,222.90"
THE YEARS.,VIRGINIA WOOLF.,"US$ 1,292.99"
A Room of One's Own 1929 Signed by Virginia Woolf Limited Ed #258/492,Virginia Woolf,"US$ 6,000.00"
The Meaning Of Sacrifice,"Money-Kyrle, R",US$ 125.00
The Common Reader,"Woolf,Virginia",US$ 32.32
The Common Reader Second Series,"Woolf, Virginia",US$ 32.32
Hunting the Highbrow,"WOOLF, Leonard",US$ 169.44
Orlando,"Woolf, Viginia",US$ 210.00
Britain & America: The Merttens Lecture 1930,"Graham, J. W.",US$ 7.19
On the Nightmare,Ernest Jones,US$ 51.72
THE LEGEND OF MONTE DELLA SIBILLA or Le Paradis de la Reine Sibille,"Bell, Clive",US$ 406.65
Disarmament / by Professor P.J. Noel Baker,"Noel-Baker, Philip John",US$ 34.00
Three guineas,"Woolf, Virginia (1882-1941)",US$ 34.00
The Common Reader: Second Series,"Woolf, Virginia",US$ 64.65
The Edwardians,"Sackville-West, V.",US$ 6.53
The Common Reader,Virginia Woolf,US$ 64.65
FLUSH,Virginia Woolf,US$ 959.95
Seducers in Ecuador.,"SACKVILLE-WEST, Vita.",US$ 840.44
Pepita,"Sackville-West, Vita",US$ 6.46
Noah and the Waters,Cecil Day Lewis,US$ 51.72
Flush - A Biography.,"WOOLF, Virginia.",US$ 58.18
Roger Fry - A Biography.,"WOOLF, Virginia.",US$ 64.65
Dream Analysis: A Practical Handbook for Psycho-Analysts,Ella Freeman Sharpe,US$ 38.79
Lions and Shadows,Christopher Isherwood,US$ 226.27
"Tolstoi's Love Letters, with a Study on the Autobiographical Elements in Tolstoi's Work","Tolstoy, Lev; Biryukov, Paul; Woolf, Virginia; Koteliansky, S.S.",US$ 387.90
Roger Fry. A Biography,"WOOLF, Virginia",US$ 135.55
Reminiscences of Leo Nikolaevich Tolstoy,"Gorky, Maxim / Koteliansky, S. S. & Woolf, Leonard - translators",US$ 36.08
SELECTED POEMS,"Day Lewis, C.",US$ 64.39
