Title,Author,Publisher,Date
Coeducation in its Historical and Theoretical Setting,LB Pekin,Hogarth Press,1939
Duino Elegies,Maria Rainer Rilke,Hogarth Press,1939
The German Army,Herbert Rosinski,Hogarth Press,1939
The New Religion ,Stephen Spender,Hogarth Press,1939
Poems for Spain,Stephen Spender and John Lehmann,Hogarth Press,1939
After the Deluge,Leonard Woolf,Hogarth Press,1939
The Hotel ,Leonard Woolf,Hogarth Press,1939
Reviewing ,Virginia Woolf,Hogarth Press,1939
Twilight in Delhi,Ahmed Ali,Hogarth Press,1940
Selected Poems,Cecil Day Lewis,Hogarth Press,1940
England’s Pleasant Land,EM Forster,Hogarth Press,1940
Control of Aliens in the British Commonwealth of Nations,CF Fraser,Hogarth Press,1940
Pack My Bag,Henry Green,Hogarth Press,1940
Folios of New Writing,John Lehmann,Hogarth Press,1940
Poets of Tomorrow,John Lehmann,Hogarth Press,1940
Selected Poems,William Plomer,Hogarth Press,1940
Country Notes in Wartime,Vita Sackville-West,Hogarth Press,1940
The Backward Son ,Stephen Spender,Hogarth Press,1940
Roger Fry,Virginia Woolf,Hogarth Press,1940
Daylight ,John Lehmann,Hogarth Press,1941
Folios of New Writing,John Lehmann,Hogarth Press,1941
The Colour Bar in East Africa,Norman Leys,Hogarth Press,1941
Why the German Republic Fell and other studies of the causes and consequences of economic inequality,AW Madsen,Hogarth Press,1941
Hilda Matheson,,Hogarth Press,1941
Selected Poems,Herman Melville,Hogarth Press,1941
Selected Poems,Rainer Maria Rilke,Hogarth Press,1941
Portrait of a Lady or the English Spirit Old and New,Elizabeth Robins,Hogarth Press,1941
Selected Poems,Vita Sackville-West,Hogarth Press,1941
Poems,Terence Tiller,Hogarth Press,1941
Aftermath,RC Trevelyan,Hogarth Press,1941
Between the Acts,Virginia Woolf,Hogarth Press,1941
